product_id,retailer_id,name,category,price,stock_count,discount_pct,is_essential,active
P0001,R001,Daily Item 1 (Premium),Essentials,463.0,37,25,1,True
P0002,R001,Drink 2 (Standard),Beverages,61.0,43,14,0,True
P0003,R001,Daily Item 3 (Fresh),Essentials,525.0,15,19,1,True
P0004,R001,Snack 4 (Pack),Junk,70.0,43,0,0,True
P0005,R001,Daily Item 5 (Pack),Essentials,554.0,2,0,1,True
P0006,R001,Salad/Fruit 6 (Standard),Healthy,120.0,8,8,1,True
P0007,R001,Drink 7 (Standard),Beverages,53.0,49,0,0,True
P0008,R001,Snack 8 (Pack),Junk,72.0,1,0,0,True
P0009,R001,Salad/Fruit 9 (Premium),Healthy,1055.0,6,0,1,True
P0010,R001,Daily Item 10 (Premium),Essentials,84.0,13,0,1,True
P0011,R001,Snack 11 (Fresh),Junk,379.0,3,0,0,True
P0012,R001,Snack 12 (Premium),Junk,73.0,41,0,0,True
P0013,R001,Drink 13 (Pack),Beverages,230.0,17,0,0,True
P0014,R001,Snack 14 (Pack),Junk,221.0,35,0,0,True
P0015,R001,Daily Item 15 (Pack),Essentials,320.0,7,0,1,True
P0016,R001,Daily Item 16 (Premium),Essentials,751.0,38,0,1,True
P0017,R001,Drink 17 (Fresh),Beverages,92.0,23,0,0,True
P0018,R001,Daily Item 18 (Premium),Essentials,237.0,44,19,1,True
P0019,R001,Drink 19 (Fresh),Beverages,104.0,24,0,0,True
P0020,R001,Daily Item 20 (Premium),Essentials,178.0,43,15,1,True
P0021,R002,Salad/Fruit 21 (Pack),Healthy,692.0,7,0,1,True
P0022,R002,Drink 22 (Pack),Beverages,270.0,40,0,0,True
P0023,R002,Drink 23 (Standard),Beverages,72.0,44,0,0,True
P0024,R002,Snack 24 (Premium),Junk,235.0,36,0,0,True
P0025,R002,Daily Item 25 (Premium),Essentials,775.0,26,0,1,True
P0026,R002,Salad/Fruit 26 (Standard),Healthy,712.0,46,0,1,True
P0027,R002,Drink 27 (Pack),Beverages,44.0,25,18,0,True
P0028,R002,Salad/Fruit 28 (Premium),Healthy,894.0,8,0,1,True
P0029,R002,Snack 29 (Standard),Junk,61.0,12,11,0,True
P0030,R002,Drink 30 (Premium),Beverages,91.0,31,0,0,True
P0031,R002,Drink 31 (Fresh),Beverages,270.0,44,0,0,True
P0032,R002,Drink 32 (Pack),Beverages,75.0,12,23,0,True
P0033,R002,Snack 33 (Fresh),Junk,303.0,1,0,0,True
P0034,R002,Snack 34 (Pack),Junk,153.0,27,0,0,True
P0035,R002,Daily Item 35 (Standard),Essentials,389.0,29,0,1,True
P0036,R002,Daily Item 36 (Pack),Essentials,555.0,27,0,1,True
P0037,R002,Snack 37 (Pack),Junk,244.0,0,29,0,True
P0038,R002,Daily Item 38 (Standard),Essentials,794.0,2,12,1,True
P0039,R002,Salad/Fruit 39 (Pack),Healthy,748.0,36,0,1,True
P0040,R002,Snack 40 (Premium),Junk,191.0,23,0,0,True
P0041,R003,Snack 41 (Standard),Junk,179.0,31,0,0,True
P0042,R003,Daily Item 42 (Standard),Essentials,162.0,48,16,1,True
P0043,R003,Snack 43 (Standard),Junk,314.0,1,0,0,True
P0044,R003,Drink 44 (Fresh),Beverages,152.0,16,6,0,True
P0045,R003,Snack 45 (Fresh),Junk,239.0,22,5,0,True
P0046,R003,Drink 46 (Pack),Beverages,165.0,1,0,0,True
P0047,R003,Snack 47 (Standard),Junk,179.0,5,8,0,True
P0048,R003,Salad/Fruit 48 (Pack),Healthy,302.0,16,0,1,True
P0049,R003,Daily Item 49 (Premium),Essentials,659.0,1,0,1,True
P0050,R003,Salad/Fruit 50 (Standard),Healthy,851.0,15,0,1,True
P0051,R003,Daily Item 51 (Premium),Essentials,236.0,5,0,1,True
P0052,R003,Salad/Fruit 52 (Pack),Healthy,759.0,35,7,1,True
P0053,R003,Salad/Fruit 53 (Fresh),Healthy,246.0,19,0,1,True
P0054,R003,Daily Item 54 (Pack),Essentials,538.0,32,0,1,True
P0055,R003,Salad/Fruit 55 (Premium),Healthy,437.0,39,29,1,True
P0056,R003,Drink 56 (Standard),Beverages,190.0,30,0,0,True
P0057,R003,Salad/Fruit 57 (Pack),Healthy,362.0,15,0,1,True
P0058,R003,Drink 58 (Standard),Beverages,99.0,48,20,0,True
P0059,R003,Snack 59 (Fresh),Junk,159.0,4,0,0,True
P0060,R003,Salad/Fruit 60 (Fresh),Healthy,1114.0,8,23,1,True
P0061,R004,Daily Item 61 (Fresh),Essentials,257.0,2,0,1,True
P0062,R004,Snack 62 (Standard),Junk,139.0,32,0,0,True
P0063,R004,Salad/Fruit 63 (Pack),Healthy,203.0,19,0,1,True
P0064,R004,Daily Item 64 (Standard),Essentials,559.0,24,0,1,True
P0065,R004,Drink 65 (Standard),Beverages,233.0,34,0,0,True
P0066,R004,Drink 66 (Pack),Beverages,200.0,3,25,0,True
P0067,R004,Daily Item 67 (Fresh),Essentials,553.0,7,0,1,True
P0068,R004,Drink 68 (Fresh),Beverages,167.0,32,0,0,True
P0069,R004,Salad/Fruit 69 (Pack),Healthy,569.0,21,10,1,True
P0070,R004,Snack 70 (Standard),Junk,384.0,7,0,0,True
P0071,R004,Snack 71 (Standard),Junk,296.0,29,0,0,True
P0072,R004,Salad/Fruit 72 (Fresh),Healthy,1059.0,32,20,1,True
P0073,R004,Salad/Fruit 73 (Premium),Healthy,646.0,48,16,1,True
P0074,R004,Daily Item 74 (Premium),Essentials,207.0,28,10,1,True
P0075,R004,Salad/Fruit 75 (Premium),Healthy,1160.0,23,0,1,True
P0076,R004,Snack 76 (Standard),Junk,200.0,30,0,0,True
